,station,design_temp,province
420,Lake Eon AP,70,QC
421,Lennoxville,82,QC
422,Longue-Pointe-De-Mingan,67,QC
423,Maniwaki AP,83,QC
424,Maniwaki Ua,81,QC
425,Manouane Est,76,QC
426,Matagami AP,81,QC
427,Mctavish,84,QC
428,Megantic AP,83,QC
429,Mistook,81,QC
430,Mont-Joli AP,77,QC
431,Mont-Orford,74,QC
432,Montreal-Est,84,QC
433,"Montreal, Mirabel IAP",82,QC
434,"Montreal, Pierre Elliott Trude AP",83,QC
435,"Montreal, St-Hubert AP",83,QC
436,Natashquan AP,68,QC
437,New Carlisle,76,QC
438,Nicolet,81,QC
439,Nitchequon,69,QC
440,Normandin,80,QC
441,Onatchiway,80,QC
442,Parent,79,QC
443,Pointe Claveau,76,QC
444,Pointe Noire,73,QC
445,Pointe-Au-Pere,71,QC
446,Pointe-Des-Monts,65,QC
447,Port-Menier,72,QC
448,"Quebec, Jean Lesage IAP",81,QC
449,Rimouski,79,QC
450,Riviere-Du-Loup,77,QC
451,Roberval AP,80,QC
452,Rouyn,81,QC
453,Rouyn AP,81,QC
454,Schefferville AP,71,QC
455,Sept-Iles AP,70,QC
456,Sherbrooke AP,81,QC
457,St-Anicet,84,QC
458,St. Jean,86,QC
459,St. Jeirome,86,QC
460,St-Jovite,82,QC
461,St. Hubert AP,83,QC
462,Schefferville AP,69,QC
463,Sept. lles AP,69,QC
464,Shawinigan,84,QC
465,Sherbrooke CO,80,QC
466,Ste Agathe Des Monts,79,QC
467,Ste-Anne-De-Bellevue,83,QC
468,Ste-Clothilde,84,QC
469,Ste-Foy (U. Laval),82,QC
470,Thetford Mines,84,QC
471,Trois-Rivieres,79,QC
472,Val-D'Or AP,81,QC
473,Valleyfield,86,QC
474,Varennes,84,QC
476,Assiniboia AP,86,SK
477,Broadview,83,SK
478,Collins Bay,75,SK
479,Coronach,87,SK
480,Cree Lake,76,SK
481,Cypress Hills Park,80,SK
482,Eastend Cypress,83,SK
483,Elbow,86,SK
484,Estevan AP,86,SK
485,Hudson Bay,81,SK
486,Indian Head,83,SK
487,Key Lake AP,78,SK
488,Kindersley AP,84,SK
489,La Ronge AP,79,SK
490,Last Mountain,83,SK
491,Leader AP,87,SK
492,Lucky Lake,84,SK
493,Maple Creek,86,SK
494,Meadow Lake AP,80,SK
495,Melfort,81,SK
496,Moose Jaw AP,87,SK
497,Moose Jaw CO,86,SK
498,Nipawin AP,81,SK
499,North Battleford AP,82,SK
500,Outlook,85,SK
501,Prince Albert AP,81,SK
502,Regina AP,85,SK
503,Rockglen,85,SK
504,Rosetown East,84,SK
505,Saskatoon Diefenbaker IAP,84,SK
506,"Saskatoon, Kernen Farm",83,SK
507,Scott,83,SK
508,Southend,78,SK
509,Spiritwood West,80,SK
510,Stony Rapids ,79,SK
511,Swift Current AP,84,SK
512,Swift Current CO,85,SK
513,Uranium City,76,SK
514,"Val Marie, Southeast",89,SK
515,Waskesiu Lake,79,SK
516,"Watrous, East",83,SK
517,Weyburn,86,SK
518,Wynyard,82,SK
519,Yorkton AP,82,SK
521,Burwash AP,70,YT
522,Faro,75,YT
523,Haines Junction,73,YT
524,Herschel Is,58,YT
525,Ivvavik Nat. Pa,71,YT
526,Komakuk Be,60,YT
527,Mayo AP,77,YT
528,Rock River,69,YT
529,Shingle Point AP,68,YT
530,Teslin,73,YT
531,Watson Lake AP,75,YT
532,Whitehorse AP,74,YT
