"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","EE_RATIO","COOL_CAP_KW","COOL_CAP_BTU","PROD_CLASS_LABEL_EN","PROD_CLASS_LABEL_FR","HEAT_ELEMENT_LABEL_EN","HEAT_ELEMENT_LABEL_FR","VOLTAGE_LABEL_EN","VOLTAGE_LABEL_FR","ENERGUIDE_LABEL_EN","ENERGUIDE_LABEL_FR","REVERSE_CYCLES_LABEL_EN","REVERSE_CYCLES_LABEL_FR","AMPS"
8952803,"HWE15XCN","Haier",10.7,4.246,14500,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",11.8
8952804,"ESA415N","Haier",11.2,4.392,15000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",11.6
8952805,"ESA415N-L","Haier",11.2,4.392,15000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",11.6
8952806,"HWE18VCN","Haier",10.7,5.271,18000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","240","240","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",7.4
8952807,"ESA418N","Haier",11.2,5.271,18000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","240","240","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",7.1
8952808,"ESA418N-L","Haier",11.2,5.271,18000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","240","240","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",7.1
8952809,"HWE24VCN","Haier",9.4,7.027,24000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","240","240","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",11.1
8952810,"ESA424N","Haier",9.8,7.027,24000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","240","240","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",11
8952811,"ESA424N-L","Haier",9.8,7.027,24000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","240","240","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",11
8952812,"EST08XCM","Haier",9.8,2.342,8000,"non-louvered","appareils à évents sans lame","no electric heating elements","sans éléments électriques de chauffage","120","120","non-louvred without reverse cycle","sans lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",7.2
8952813,"EST10XCM","Haier",9.8,2.928,10000,"non-louvered","appareils à évents sans lame","no electric heating elements","sans éléments électriques de chauffage","120","120","non-louvred without reverse cycle","sans lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",9.2
8952814,"EST10VCM","Haier",9.8,2.928,10000,"non-louvered","appareils à évents sans lame","no electric heating elements","sans éléments électriques de chauffage","240","240","non-louvred without reverse cycle","sans lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",4.6
8952816,"EST12VCM","Haier",9.8,3.514,12000,"non-louvered","appareils à évents sans lame","no electric heating elements","sans éléments électriques de chauffage","240","240","non-louvred without reverse cycle","sans lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",5.3
8952833,"CP05G10A","Friedrich",10.7,1.596,5450,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",4.8
8952834,"CP06G10A","Friedrich",11.2,1.757,6000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",4.9
8952835,"CP08G10A","Friedrich",11.2,2.284,7800,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",6.3
8952836,"CP10G10A","Friedrich",11.3,2.928,10000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",8.5
8952837,"CP12G10A","Friedrich",11.3,3.514,12000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",9.7
8952838,"CP15G10A","Friedrich",11.2,4.392,15000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",12
8952839,"CP18G30A","Friedrich",11.2,5.271,18000,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","240","240","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",7.3
8952840,"CP24G30A","Friedrich",9.8,6.881,23500,"louvered","appareils à évents lame","no electric heating elements","sans éléments électriques de chauffage","240","240","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",10.9
8952841,"EL36N35B","Friedrich",9,10.541,36000,"louvered","appareils à évents lame","with electric heating elements","dotée d'éléments électriques de chauffage","240","240","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",17.5
8952842,"EP08G11A","Friedrich",9.8,2.342,8000,"louvered","appareils à évents lame","with electric heating elements","dotée d'éléments électriques de chauffage","120","120","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",7.5
8952843,"EP12G33A","Friedrich",9.8,3.514,12000,"louvered","appareils à évents lame","with electric heating elements","dotée d'éléments électriques de chauffage","240","240","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",5.5
8952844,"EP18G33A","Friedrich",9.7,5.271,18000,"louvered","appareils à évents lame","with electric heating elements","dotée d'éléments électriques de chauffage","240","240","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",8.3
8952845,"EP24G33A","Friedrich",8.5,6.881,23500,"louvered","appareils à évents lame","with electric heating elements","dotée d'éléments électriques de chauffage","240","240","louvred without reverse cycle","à lames et sans cycle réversible","without a reverse cycle","sans cycle réversible",12.2
