"REF_DATE","GEO","DGUID","Air conditioners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Saguenay, Quebec","2011S0503408","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709634","17.3","40","E","","","0"
"2013","Saguenay, Quebec","2011S0503408","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709635","17.4","18","E","","","0"
"2013","Saguenay, Quebec","2011S0503408","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709636","17.5","61","","","","0"
"2013","Québec, Quebec","2011S0503421","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709637","18.1","33","","","","0"
"2013","Québec, Quebec","2011S0503421","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709638","18.2","13","E","","","0"
"2013","Québec, Quebec","2011S0503421","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709639","18.3","39","E","","","0"
"2013","Québec, Quebec","2011S0503421","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709640","18.4","20","","","","0"
"2013","Québec, Quebec","2011S0503421","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709641","18.5","60","","","","0"
"2013","Sherbrooke, Quebec","2011S0503433","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709642","19.1","55","","","","0"
"2013","Sherbrooke, Quebec","2011S0503433","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709643","19.2","22","E","","","0"
"2013","Sherbrooke, Quebec","2011S0503433","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709644","19.3","41","E","","","0"
"2013","Sherbrooke, Quebec","2011S0503433","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709645","19.4","35","","","","0"
"2013","Sherbrooke, Quebec","2011S0503433","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709646","19.5","64","","","","0"
"2013","Trois-Rivières, Quebec","2011S0503442","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709647","20.1","57","","","","0"
"2013","Trois-Rivières, Quebec","2011S0503442","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709648","20.2","30","E","","","0"
"2013","Trois-Rivières, Quebec","2011S0503442","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709649","20.3","53","E","","","0"
"2013","Trois-Rivières, Quebec","2011S0503442","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709650","20.4","27","E","","","0"
"2013","Trois-Rivières, Quebec","2011S0503442","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709651","20.5","48","E","","","0"
"2013","Montréal, Quebec","2011S0503462","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709652","21.1","66","","","","0"
"2013","Montréal, Quebec","2011S0503462","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709653","21.2","28","","","","0"
"2013","Montréal, Quebec","2011S0503462","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709654","21.3","43","","","","0"
"2013","Montréal, Quebec","2011S0503462","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709655","21.4","38","","","","0"
"2013","Montréal, Quebec","2011S0503462","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709656","21.5","57","","","","0"
"2013","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709657","22.1","75","","","","0"
"2013","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709658","22.2","57","","","","0"
"2013","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709659","22.3","76","","","","0"
"2013","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709660","22.4","18","E","","","0"
"2013","Ottawa-Gatineau, Ontario/Quebec","2011S0503505","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709661","22.5","24","E","","","0"
"2013","Ottawa-Gatineau (Quebec part)","2011S050524505","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709662","23.1","65","","","","0"
"2013","Ottawa-Gatineau (Quebec part)","2011S050524505","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709663","23.2","42","","","","0"
"2013","Ottawa-Gatineau (Quebec part)","2011S050524505","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709664","23.3","64","","","","0"
"2013","Ottawa-Gatineau (Quebec part)","2011S050524505","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709665","23.4","24","E","","","0"
"2013","Ottawa-Gatineau (Quebec part)","2011S050524505","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709666","23.5","37","E","","","0"
"2013","Ottawa-Gatineau (Ontario part)","2011S050535505","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709667","24.1","78","","","","0"
"2013","Ottawa-Gatineau (Ontario part)","2011S050535505","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709668","24.2","62","","","","0"
"2013","Ottawa-Gatineau (Ontario part)","2011S050535505","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709669","24.3","80","","","","0"
"2013","Ottawa-Gatineau (Ontario part)","2011S050535505","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709670","24.4","16","E","","","0"
"2013","Ottawa-Gatineau (Ontario part)","2011S050535505","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709671","24.5","20","E","","","0"
"2013","Kingston, Ontario","2011S0503521","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709672","25.1","83","","","","0"
"2013","Kingston, Ontario","2011S0503521","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709673","25.2","65","","","","0"
"2013","Kingston, Ontario","2011S0503521","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709674","25.3","79","","","","0"
"2013","Kingston, Ontario","2011S0503521","Stand-alone air conditioner, as a percentage of all households","Percent","239","units ","0","v95709675","25.4","18","E","","","0"
"2013","Kingston, Ontario","2011S0503521","Stand-alone air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709676","25.5","22","E","","","0"
"2013","Peterborough, Ontario","2011S0503529","Any type of air conditioner, as a percentage of all households","Percent","239","units ","0","v95709677","26.1","65","","","","0"
"2013","Peterborough, Ontario","2011S0503529","Central air conditioner, as a percentage of all households","Percent","239","units ","0","v95709678","26.2","48","","","","0"
"2013","Peterborough, Ontario","2011S0503529","Central air conditioner, as a percentage of households that had an air conditioner","Percent","239","units ","0","v95709679","26.3","73","","","","0"
